FTSE,HAN,NIK,SP
-0.026117669,0.066753051,-0.029046228,0.012535332
0.001806685,-0.00544219,0.016291262,0.021470865
-0.01778661,-0.008094185,0.025054692,0.021550016
0.016883676,-0.001188503,0.00490792,-0.004677874
-0.030822473,0.018664315,0.015844242,0.013127438
-0.00986152,-0.079832835,-0.00959607,-0.013500483
-0.001506497,0.004845517,-0.007345738,-0.005237293
0.02045646,0.035707627,0.046065917,0.018211765
-0.014506485,0.020865704,0.014951649,0.007286866
-0.018911305,-0.015576541,0.017328276,0.004793923
0.029841733,0.046262867,0.004704515,0.016906748
0.006403174,0.010683669,0.019575361,-0.021021873
0.016615823,0.008965454,0.008713043,-0.003450984
-0.025740424,0.01065351,-0.009313796,-0.017116107
-0.010772544,-0.004070442,0.011065523,-0.001439655
-0.015775188,-0.0245345,0.008952009,0.009294488
-0.003823365,0.010905365,-0.00342241,-0.001746078
-0.016674027,-0.055629776,-0.025352022,-0.007761868
0.026015435,-0.00418995,0.036620917,-0.012567298
0.014816946,-0.005294224,0.050663567,-0.018105964
0.015582804,-0.010285511,-0.023130073,-0.005795198
0.024785392,0.00354759,0.00011781,0.01864498
-0.004318884,0.022222429,0.006135005,-0.008402035
-0.032441221,0.018962644,-0.071379261,0.029475818
-0.004356221,0.029407617,0.035089928,0.005887518
-0.015778056,-0.0072259,-0.022037398,0.005169333
0.006001092,0.027479005,-0.002827319,0.014053466
0.012330767,0.026915778,-0.031592087,0.022265322
-0.011197765,0.005764034,-0.070207634,0.009543358
0.004644457,-0.029392652,0.042439871,0.017682826
0.029248707,-0.003169575,0.012542952,0.008309412
0.006123272,0.012850644,0.042989384,0.010133082
-0.030811324,0.002260936,-0.009448499,0.016822467
0.01773129,-0.005458148,0.025370009,-0.012807466
-0.01102194,0.020116532,0.040198354,0.019789375
0.012001252,0.041579525,0.017250458,-0.015790429
0.001039469,-0.023932009,0.003805559,0.001393461
0.017447586,-0.025956306,0.0029181,-0.023170435
0.008313196,-0.000921075,-0.010719664,0.032870667
0.025404165,-0.007631418,0.007515017,0.012616824
0.024661455,0.011482772,-0.00308824,0.014035155
-0.001871226,0.004978978,0.033756242,0.017396533
0.028093622,-0.003087481,0.018397163,0.019288566
0.018913869,-0.048094649,0.009251697,0.001338151
0.026240651,-0.045419058,-0.00803818,0.035899495
0.029213575,-0.01936384,0.003415989,0.013073199
0.010751422,0.037063417,0.015202914,0.007189712
0.01489036,-0.009621129,0.041023279,-0.006722928
-0.011702502,0.088865206,0.013286417,-0.008350068
0.013647979,0.021956576,0.018230075,0.035594236
0.01792862,-0.004476283,-0.010750478,-0.00194227
-0.034764457,0.029724303,0.026072216,-0.026108299
0.001671098,0.015448911,0.038836847,0.002374895
-0.027806645,-0.024361675,0.025751213,0.0061653
0.017277822,-0.014271732,0.024664924,-0.008837454
0.041515112,-0.009741427,-0.051430486,0.046390661
0.023224723,-0.011770834,0.043965078,-0.010966944
0.036193037,-0.003021581,0.01841866,-0.011586086
0.00488773,0.021688414,-0.039500108,0.015881186
-0.013102949,-0.016960542,0.046720973,0.015954339
0.040954344,0.000284099,0.020555623,0.015031282
0.009217476,-0.007184021,0.027155922,-0.039882586
0.028101926,0.009000346,0.007372434,-0.032692362
-0.015811293,0.029943026,-0.040801635,0.015453778
-0.00623657,0.01686307,-0.02606184,-0.008753159
0.037655474,0.021362271,-0.032688642,0.001056122
0.026089711,0.010643443,0.020966921,0.036604364
-0.031364747,0.017302279,-0.054307414,0.016551322
0.016330002,-0.004284652,0.073208368,0.014034063
-0.027956294,0.006188777,-0.005334931,-0.01279369
-0.013598559,0.015913832,0.050641401,-0.012149645
-0.039481453,-0.027809498,-0.009343069,-0.064274113
0.023119817,0.043922283,0.021648459,0.019660433
0.000222296,0.039971162,0.002727021,-0.011407291
-0.000177833,0.053195608,-0.039642934,0.013098767
0.013557584,0.037921767,0.001194253,0.008917364
0.031348364,-0.022660481,-0.00408037,-0.010693488
0.005764682,0.046654037,0.045011091,0.019615046
-0.002623896,-0.06223292,-0.00225583,0.023138545
-0.015760465,0.016204162,0.026396101,0.000243299
-0.178171585,0.001606068,-0.106795424,-0.037088703
-0.158791538,0.058185638,-0.058904595,0.045687694
-0.030799924,0.034027716,0.021167334,0.020214767
0.019215964,-0.007098304,-0.091851114,-0.011449978
0.014774716,-0.012979971,0.077611771,-0.013640587
0.000240399,0.045722249,0.021117471,-0.003277299
-0.045361759,0.017438877,-0.013187525,-0.018735719
0.030346644,0.014994291,-0.00130084,0.052916867
0.030340857,-0.011147011,-0.002900334,0.028227447
0.047160016,-0.017331863,-0.005517965,0.019605514
-0.006570028,0.007587857,0.00424982,0.027834799
